Location,Attractiveness,c_in,c_stay + c_out,Population,Criminal Damage and Arson,Crimes Of Dishonesty,Sexual Offences,Violence,Other,Total
Torbay,0.190475135,8591,45103,130959,1792,4703,176,2145,1359,10175
Torfaen,0.398836143,13913,34884,91075,1230,2784,105,876,698,5693
"Tower Hamlets, London",1.831325301,185744,101426,254096,2433,15078,428,6197,5316,29452
Trafford,0.759477251,70260,92511,226578,1922,6905,119,1949,1714,12609
Tunbridge Wells,0.454816555,20132,44264,115049,971,2740,67,840,381,4999
Uttlesford,0.569456094,17652,30998,79443,454,2070,32,394,779,3729
Vale of White Horse,0.488398706,24754,50684,120988,813,2202,57,689,707,4468
Wakefield,0.346004108,45148,130484,325837,4380,15047,321,3977,2289,26014
Walsall,0.434939985,41816,96142,269323,3317,10014,208,3347,1456,18342
Waltham Forest,0.325152587,30419,93553,258249,2284,14070,317,5917,2288,24876
Wandsworth,0.432146886,63972,148033,306995,2254,15050,332,4634,2122,24392
Warrington,0.578024636,49224,85159,202228,2037,6731,195,2205,1260,12428
Watford,0.734713652,28814,39218,90301,896,4213,82,1153,1236,7580
Waveney,0.211292156,8364,39585,115254,1764,3640,166,1669,946,8185
"Waverley, Surrey",0.475793976,20914,43956,121572,901,2642,48,590,360,4541
Wealden,0.289307812,15009,51879,148915,857,2570,85,623,425,4560
Wellingborough,0.491261498,14954,30440,75356,1185,2949,83,1126,497,5840
Welwyn Hatfield,0.890276559,38565,43318,110535,1018,3411,60,1107,836,6432
West Berkshire,0.522021369,33614,64392,153822,1603,5926,114,1437,868,9948
West Dunbartonshire,0.31794521,10689,33619,90720,1772,3196,109,219,1882,7178
West Lancashire,0.467037238,19829,42457,110685,1253,3110,70,980,505,5918
West Lindsey,0.275229358,9180,33354,89250,1013,2555,53,535,353,4509
West Lothian,0.305453777,21675,70960,175118,2660,4504,205,247,1403,9019
West Oxfordshire,0.266215213,11833,44449,104779,715,2172,60,685,385,4017
West Somerset,0.274844567,2785,10133,34675,382,749,32,299,232,1694
Western Suffolk,0.409502963,58183,142082,355227,3463,9261,274,3080,2029,18107
Westminster City of London,9.480637266,867630,91516,226771,2637,49419,641,9221,10516,72434
Wigan,0.216187017,27614,127732,317849,3876,9515,191,2758,1636,17976
Wiltshire,0.215413249,40625,188591,470981,4285,11860,335,3474,1430,21384
Winchester,0.946589142,42003,44373,116595,1088,3255,75,992,744,6154
Windsor and Maidenhead,0.64331354,37051,57594,144560,1451,6718,106,1449,956,10680
Wirral,0.145953794,17291,118469,319783,2813,7055,273,2253,2773,15167
Woking,0.491206,20304,41335,99198,1019,2622,47,1128,927,5743
Wokingham,0.47808302,30855,64539,154380,961,3454,52,755,538,5760
Wolverhampton,0.493994528,44419,89918,249470,2758,9528,257,3869,1684,18096
Worthing,0.40818665,16743,41018,104640,1413,3805,107,1252,590,7167
Wrexham,0.257781868,14004,54325,134844,2224,5474,125,2162,1272,11257
Wycombe,0.40573807,27294,67270,171644,1622,5604,134,1703,969,10032
Wyre Forest,0.229056654,8632,37685,107749,1320,3746,106,1498,628,7298
"Wyre, Lancashire",0.277953059,10836,38985,97975,1085,2547,88,1050,456,5226
York,0.308575951,25734,83396,198051,2073,7949,166,2087,1301,13576
